Gene Identifier	Gene Symbol	In Final Gene Hit List	Has Phenotype	Phenotype Annotation Level	Phenotype 1
YAL041W	CDC24	yes	yes	gene	altered kinetochore foci
YBL034C	STU1	yes	yes	gene	altered kinetochore foci
YBL076C	ILS1	yes	yes	gene	altered kinetochore foci
YBL093C	ROX3	yes	yes	gene	altered kinetochore foci
YBL105C	PKC1	yes	yes	gene	altered kinetochore foci
YBR055C	PRP6	yes	yes	gene	altered kinetochore foci
YBR060C	ORC2	yes	yes	gene	altered kinetochore foci
YBR135W	CKS1	yes	yes	gene	altered kinetochore foci
YBR143C	SUP45	yes	yes	gene	altered kinetochore foci
YBR160W	CDC28	yes	yes	gene	altered kinetochore foci
YBR237W	PRP5	yes	yes	gene	altered kinetochore foci
YCR002C	CDC10	yes	yes	gene	altered kinetochore foci
YDL028C	MPS1	yes	yes	gene	altered kinetochore foci
YDL029W	ARP2	yes	yes	gene	altered kinetochore foci
YDL097C	RPN6	yes	yes	gene	altered kinetochore foci
YDL126C	CDC48	yes	yes	gene	altered kinetochore foci
YDL132W	CDC53	yes	yes	gene	altered kinetochore foci
YDL143W	CCT4	yes	yes	gene	altered kinetochore foci
YDL147W	RPN5	yes	yes	gene	altered kinetochore foci
YDL164C	CDC9	yes	yes	gene	altered kinetochore foci
YDR052C	DBF4	yes	yes	gene	altered kinetochore foci
YDR062W	LCB2	yes	yes	gene	altered kinetochore foci
YDR088C	SLU7	yes	yes	gene	altered kinetochore foci
YDR170C	SEC7	yes	yes	gene	altered kinetochore foci
YDR188W	CCT6	yes	yes	gene	altered kinetochore foci
YDR196C	CAB5	yes	yes	gene	altered kinetochore foci
YDR208W	MSS4	yes	yes	gene	altered kinetochore foci
YDR311W	TFB1	yes	yes	gene	altered kinetochore foci
YDR361C	BCP1	yes	yes	gene	altered kinetochore foci
YDR364C	CDC40	yes	yes	gene	altered kinetochore foci
YDR437W	GPI19	yes	yes	gene	altered kinetochore foci
YDR473C	PRP3	yes	yes	gene	altered kinetochore foci
YEL034W	HYP2	yes	yes	gene	altered kinetochore foci
YER012W	PRE1	yes	yes	gene	altered kinetochore foci
YER013W	PRP22	yes	yes	gene	altered kinetochore foci
YER148W	SPT15	yes	yes	gene	altered kinetochore foci
YFL008W	SMC1	yes	yes	gene	altered kinetochore foci
YFL009W	CDC4	yes	yes	gene	altered kinetochore foci
YFL034C-B	MOB2	yes	yes	gene	altered kinetochore foci
YFL039C	ACT1	yes	yes	gene	altered kinetochore foci
YFR028C	CDC14	yes	yes	gene	altered kinetochore foci
YGL048C	RPT6	yes	yes	gene	altered kinetochore foci
YGL061C	DUO1	yes	yes	gene	altered kinetochore foci
YGL116W	CDC20	yes	yes	gene	altered kinetochore foci
YGL130W	CEG1	yes	yes	gene	altered kinetochore foci
YGL207W	SPT16	yes	yes	gene	altered kinetochore foci
YGR006W	PRP18	yes	yes	gene	altered kinetochore foci
YGR091W	PRP31	yes	yes	gene	altered kinetochore foci
YGR113W	DAM1	yes	yes	gene	altered kinetochore foci
YGR116W	SPT6	yes	yes	gene	altered kinetochore foci
YGR120C	COG2	yes	yes	gene	altered kinetochore foci
YHR036W	BRL1	yes	yes	gene	altered kinetochore foci
YHR069C	RRP4	yes	yes	gene	altered kinetochore foci
YIR008C	PRI1	yes	yes	gene	altered kinetochore foci
YJL039C	NUP192	yes	yes	gene	altered kinetochore foci
YJL090C	DPB11	yes	yes	gene	altered kinetochore foci
YJR065C	ARP3	yes	yes	gene	altered kinetochore foci
YKL018W	SWD2	yes	yes	gene	altered kinetochore foci
YKL024C	URA6	yes	yes	gene	altered kinetochore foci
YKL049C	CSE4	yes	yes	gene	altered kinetochore foci
YKL052C	ASK1	yes	yes	gene	altered kinetochore foci
YKL112W	ABF1	yes	yes	gene	altered kinetochore foci
YKL172W	EBP2	yes	yes	gene	altered kinetochore foci
YKR002W	PAP1	yes	yes	gene	altered kinetochore foci
YKR083C	DAD2	yes	yes	gene	altered kinetochore foci
YLR045C	STU2	yes	yes	gene	altered kinetochore foci
YLR117C	CLF1	yes	yes	gene	altered kinetochore foci
YLR186W	EMG1	yes	yes	gene	altered kinetochore foci
YLR268W	SEC22	yes	yes	gene	altered kinetochore foci
YLR298C	YHC1	yes	yes	gene	altered kinetochore foci
YLR314C	CDC3	yes	yes	gene	altered kinetochore foci
YML010W	SPT5	yes	yes	gene	altered kinetochore foci
YML046W	PRP39	yes	yes	gene	altered kinetochore foci
YML049C	RSE1	yes	yes	gene	altered kinetochore foci
YML064C	TEM1	yes	yes	gene	altered kinetochore foci
YML114C	TAF8	yes	yes	gene	altered kinetochore foci
YMR001C	CDC5	yes	yes	gene	altered kinetochore foci
YMR005W	TAF4	yes	yes	gene	altered kinetochore foci
YMR213W	CEF1	yes	yes	gene	altered kinetochore foci
YMR240C	CUS1	yes	yes	gene	altered kinetochore foci
YMR268C	PRP24	yes	yes	gene	altered kinetochore foci
YNL006W	LST8	yes	yes	gene	altered kinetochore foci
YNL061W	NOP2	yes	yes	gene	altered kinetochore foci
YNL075W	IMP4	yes	yes	gene	altered kinetochore foci
YNL102W	POL1	yes	yes	gene	altered kinetochore foci
YNL207W	RIO2	yes	yes	gene	altered kinetochore foci
YNL263C	YIF1	yes	yes	gene	altered kinetochore foci
YNR011C	PRP2	yes	yes	gene	altered kinetochore foci
YNR026C	SEC12	yes	yes	gene	altered kinetochore foci
YNR043W	MVD1	yes	yes	gene	altered kinetochore foci
YOL123W	HRP1	yes	yes	gene	altered kinetochore foci
YOR046C	DBP5	yes	yes	gene	altered kinetochore foci
YOR048C	RAT1	yes	yes	gene	altered kinetochore foci
YOR181W	LAS17	yes	yes	gene	altered kinetochore foci
YOR257W	CDC31	yes	yes	gene	altered kinetochore foci
YOR326W	MYO2	yes	yes	gene	altered kinetochore foci
YPL211W	NIP7	yes	yes	gene	altered kinetochore foci
YPL266W	DIM1	yes	yes	gene	altered kinetochore foci
YPR103W	PRE2	yes	yes	gene	altered kinetochore foci
YPR161C	SGV1	yes	yes	gene	altered kinetochore foci
YPR181C	SEC23	yes	yes	gene	altered kinetochore foci
