Gene Identifier	Gene Symbol	In Final Gene Hit List	Has Phenotype	Phenotype Annotation Level	Phenotype 1
YLR027C	AAT2	yes	yes	gene	altered kinetochore foci
YLR304C	ACO1	yes	yes	gene	altered kinetochore foci
YOR128C	ADE2	yes	yes	gene	altered kinetochore foci
YDR226W	ADK1	yes	yes	gene	altered kinetochore foci
YKL114C	APN1	yes	yes	gene	altered kinetochore foci
YGL105W	ARC1	yes	yes	gene	altered kinetochore foci
YPL161C	BEM4	yes	yes	gene	altered kinetochore foci
YCL029C	BIK1	yes	yes	gene	altered kinetochore foci
YER016W	BIM1	yes	yes	gene	altered kinetochore foci
YPL084W	BRO1	yes	yes	gene	altered kinetochore foci
YGR188C	BUB1	yes	yes	gene	altered kinetochore foci
YCR047C	BUD23	yes	yes	gene	altered kinetochore foci
YPL215W	CBP3	yes	yes	gene	altered kinetochore foci
YMR038C	CCS1	yes	yes	gene	altered kinetochore foci
YLR418C	CDC73	yes	yes	gene	altered kinetochore foci
YOR039W	CKB2	yes	yes	gene	altered kinetochore foci
YGR167W	CLC1	yes	yes	gene	altered kinetochore foci
YNL225C	CNM67	yes	yes	gene	altered kinetochore foci
YIL157C	COA1	yes	yes	gene	altered kinetochore foci
YML110C	COQ5	yes	yes	gene	altered kinetochore foci
YGR255C	COQ6	yes	yes	gene	altered kinetochore foci
YBL045C	COR1	yes	yes	gene	altered kinetochore foci
YML129C	COX14	yes	yes	gene	altered kinetochore foci
YJL003W	COX16	yes	yes	gene	altered kinetochore foci
YMR078C	CTF18	yes	yes	gene	altered kinetochore foci
YPL018W	CTF19	yes	yes	gene	altered kinetochore foci
YPR135W	CTF4	yes	yes	gene	altered kinetochore foci
YML112W	CTK3	yes	yes	gene	altered kinetochore foci
YAL039C	CYC3	yes	yes	gene	altered kinetochore foci
YGR155W	CYS4	yes	yes	gene	altered kinetochore foci
YOR065W	CYT1	yes	yes	gene	altered kinetochore foci
YGR092W	DBF2	yes	yes	gene	altered kinetochore foci
YCL016C	DCC1	yes	yes	gene	altered kinetochore foci
YDL160C	DHH1	yes	yes	gene	altered kinetochore foci
YOR080W	DIA2	yes	yes	gene	altered kinetochore foci
YHR011W	DIA4	yes	yes	gene	altered kinetochore foci
YLR172C	DPH5	yes	yes	gene	altered kinetochore foci
YAL026C	DRS2	yes	yes	gene	altered kinetochore foci
YKL048C	ELM1	yes	yes	gene	altered kinetochore foci
YFR019W	FAB1	yes	yes	gene	altered kinetochore foci
YLR238W	FAR10	yes	yes	gene	altered kinetochore foci
YHR059W	FYV4	yes	yes	gene	altered kinetochore foci
YOL051W	GAL11	yes	yes	gene	altered kinetochore foci
YEL046C	GLY1	yes	yes	gene	altered kinetochore foci
YJL184W	GON7	yes	yes	gene	altered kinetochore foci
YJL101C	GSH1	yes	yes	gene	altered kinetochore foci
YBL021C	HAP3	yes	yes	gene	altered kinetochore foci
YDR174W	HMO1	yes	yes	gene	altered kinetochore foci
YOR258W	HNT3	yes	yes	gene	altered kinetochore foci
YMR032W	HOF1	yes	yes	gene	altered kinetochore foci
YDR158W	HOM2	yes	yes	gene	altered kinetochore foci
YER052C	HOM3	yes	yes	gene	altered kinetochore foci
YDR138W	HPR1	yes	yes	gene	altered kinetochore foci
YDR533C	HSP31	yes	yes	gene	altered kinetochore foci
YBR107C	IML3	yes	yes	gene	altered kinetochore foci
YLR095C	IOC2	yes	yes	gene	altered kinetochore foci
YOL081W	IRA2	yes	yes	gene	altered kinetochore foci
YPL017C	IRC15	yes	yes	gene	altered kinetochore foci
YLL027W	ISA1	yes	yes	gene	altered kinetochore foci
YPR067W	ISA2	yes	yes	gene	altered kinetochore foci
YPL040C	ISM1	yes	yes	gene	altered kinetochore foci
YER110C	KAP123	yes	yes	gene	altered kinetochore foci
YPL269W	KAR9	yes	yes	gene	altered kinetochore foci
YCR091W	KIN82	yes	yes	gene	altered kinetochore foci
