Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Experimental Condition [RNA interference]	Well_Experimental Condition [RNA interference]	Percentage multipolar spindle - Z-score	Average no. of spindle poles per cell per well - Z-score	Cell number - Z-score	Mitotic Index - Z-score	Percentage Multinucleate - Z-score	ch-TOG Multipolar Spindle Phenotype Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
B10				ch-TOG shRNA	B10_ch-TOG shRNA	0.185226206	0.162528274	-0.584818019	1.020048096	-0.257316131					
B10				non-silencing shRNA	B10_non-silencing shRNA	-0.049570063	0.853497785	0.660811018	-0.261016027	-0.283875376					
B11				ch-TOG shRNA	B11_ch-TOG shRNA	0.545752761	0.401018612	-0.62555825	1.027742666	-0.255905559					
B11				non-silencing shRNA	B11_non-silencing shRNA	0.164428153	-0.398656315	0.646981133	-0.207818129	-0.281069219					
B12				ch-TOG shRNA	B12_ch-TOG shRNA	0.125571877	0.143965516	-0.531144017	0.751354971	-0.226323948					
B12				non-silencing shRNA	B12_non-silencing shRNA	0.117375261	-0.804210903	0.622774944	-0.229784955	-0.28056867					
B13				ch-TOG shRNA	B13_ch-TOG shRNA	0.371697789	0.288778222	-0.700244009	0.970536664	-0.216563995					
B13				non-silencing shRNA	B13_non-silencing shRNA	-0.347463053	-0.373593396	0.645210997	-0.201117267	-0.266996091					
B14				ch-TOG shRNA	B14_ch-TOG shRNA	0.454029105	0.447633413	-0.528295386	1.170024537	-0.206552372					
B14				non-silencing shRNA	B14_non-silencing shRNA	-0.510931101	-0.354132768	0.537549659	-0.212416697	-0.264800962					
B15				ch-TOG shRNA	B15_ch-TOG shRNA	-0.33705454	-0.093439103	-0.715350651	-0.172432713	-0.203775957					
B15				non-silencing shRNA	B15_non-silencing shRNA	-0.10154754	-1.459260573	0.435243632	-0.251721487	-0.260822722					
B16				ch-TOG shRNA	B16_ch-TOG shRNA	0.207002971	0.088372891	-0.748843681	1.057547105	-0.197899352					
B16				non-silencing shRNA	B16_non-silencing shRNA	-0.640199009	-1.680824424	0.44027648	-0.207036596	-0.259579783					
B17				ch-TOG shRNA	B17_ch-TOG shRNA	0.217513664	0.143488641	-0.850654166	0.331188496	-0.189447575					
B17				non-silencing shRNA	B17_non-silencing shRNA	-0.609076375	-1.067801241	0.513145785	-0.246009081	-0.258156267					
B18				ch-TOG shRNA	B18_ch-TOG shRNA	0.582496383	0.414722784	-0.532059704	0.175746958	-0.165933636					
B18				non-silencing shRNA	B18_non-silencing shRNA	-0.06218388	-0.057166418	0.630524126	-0.23750189	-0.256961332					
B19			RacGAP1	ch-TOG shRNA	B19_ch-TOG shRNA	2.013924252	1.801745304	-1.579578497	1.18704441	4.597919962	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
B19			RacGAP1	non-silencing shRNA	B19_non-silencing shRNA	1.253620168	-0.725013702	-2.276203508	-0.073035308	4.292208759	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
