Dataset Name,Image Name,Organism,Cell Line,Cell Cycle Phase,Targeted Protein,Gene Identifier %% url=http://www.ensembl.org/id/%s,Gene Symbol,Gene Symbol Synonyms,Channels,Phenotype 1,Mean Outer Toroid Diameter,Standard Deviation of Outer Toroid Diameter,Number of Centrosomes Measured
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1545_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1559_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1608_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1620_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1633_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1643_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Centrin_PCNT_Cep215_20110506_Fri-1648_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CENT2; 525:PCNT; 615:CDK5RAP2-C,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Cep215_PCNT_gtub_20110506_Fri-1701_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Cep215_PCNT_gtub_20110506_Fri-1713_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
CDK5RAP2-C,Cep215_PCNT_gtub_20110506_Fri-1721_0_SIR_PRJ.dv,Homo sapiens,HeLa,interphase,CDK5RAP2-C,ENSG00000136861,CDK5RAP2,CEP215,442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N,protein localized to centrosome,452.2 nanometers,38.1 nanometers,40
