Source Name	Characteristics[Organism]	Term Source REF	Term Source Accession	Characteristics[Cell Line]	Term Source REF	Term Source Accession	Characteristics[Cell Cycle Phase]	Protocol REF	Protocol REF	Assay Name	Factor Value [Targeted Protein]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Symbol Synonyms]	Channels	Dataset Name	Image File Path	Image Name	Protocol REF	Processed Data File
Centrin_PCNT_Cep215_20110506_Fri-1545_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1545_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1545_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_PCNT_Cep215_20110506_Fri-1559_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1559_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1559_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_PCNT_Cep215_20110506_Fri-1608_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1608_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1608_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_PCNT_Cep215_20110506_Fri-1620_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1620_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1620_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_PCNT_Cep215_20110506_Fri-1633_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1633_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1633_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_PCNT_Cep215_20110506_Fri-1643_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1643_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1643_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_PCNT_Cep215_20110506_Fri-1648_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_PCNT_Cep215_20110506_Fri-1648_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CENT2; 525:PCNT; 615:CDK5RAP2-C	CDK5RAP2-C	CDK5RAP2-C/Centrin_PCNT_Cep215_20110506/	Centrin_PCNT_Cep215_20110506_Fri-1648_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1701_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1701_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1701_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1713_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1713_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1713_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1721_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1721_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1721_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1726_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1726_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1726_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1733_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1733_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1733_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1740_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1740_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1740_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_gtub_20110506_Fri-1751_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_gtub_20110506_Fri-1751_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:TUBG1-N	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_gTub_20110506/	Cep215_PCNT_gtub_20110506_Fri-1751_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1216_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1216_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1216_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1241_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1241_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1241_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1331_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1331_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1331_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1403_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1403_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1403_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1436_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1436_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1436_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1441_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1441_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1441_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1504_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1504_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1504_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1511_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1511_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1511_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1516_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1516_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1516_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Cep215_PCNT_NEDD1_20110505_Thu-1529_0	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Cep215_PCNT_NEDD1_20110505_Thu-1529_0	CDK5RAP2-C	ENSG00000136861	CDK5RAP2	CEP215	442:CDK5RAP2-C; 525:PCNT; 615:NEDD1	CDK5RAP2-C	CDK5RAP2-C/Cep215_PCNT_NEDD1_20110505/	Cep215_PCNT_NEDD1_20110505_Thu-1529_0_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_001	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_001	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_001_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_002	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_002	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_002_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_003	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_003	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_003_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_004	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_004	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_004_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_007	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_007	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_007_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
Centrin_Sas6_Cep192_008	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	interphase	growth protocol	image aquistion and feature extraction protocol	Centrin_Sas6_Cep192_008	CEP192-M 	ENSG00000101639	CEP192		525:CENT2; 442:Sas6; 615:CEP192-M	CEP192-M 	CEP192-M/Centrin_Sas6_Cep192_20111108/	Centrin_Sas6_Cep192_008_SIR_PRJ.dv	data analysis protocol	idr0021-experimentA-processed.txt
