Source Name	Comment [Sample Description]	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Term Source 2 REF	Term Source 2 Accession	Characteristics [Genotype]	Term Source 3 REF	Term Source 3 Accession	Characteristics [Organism Part]	Term Source 4 REF	Term Source 4 Accession	Characteristics [Developmental Stage]	Term Source 5 REF	Term Source 5 Accession	Material Entity	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Genotype]	Experimental Condition [Replicate]	Experimental Condition [Time]	Dataset Name	Image File	Channels	Comment[Image Dimensions]	Image File Path	Comment [Image File Comments]	Comment [Image File Type]
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		0 minute	Time Series PNA vital test	Time-PNA-rh-vital-test.czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test.czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		30 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(1).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(1).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		60 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(2).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(2).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		90 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(3).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(3).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		120 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(4).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(4).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		150 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(5).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(5).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		180 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(6).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(6).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		210 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(7).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(7).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		240 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(8).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(8).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
Time Series PNA vital test	wild type primary embryonic (E13.5) kidney cells	Mus musculus	NCBITaxon	NCBITaxon_10090	CD1 mus strain	EFO	EFO_0005180	wild type genotype	EFO	EFO_0005168	kidney	UBERON	UBERON_0002113	embryonic day 13.5	EFO	EFO_0002564	organoid	TIME SERIES GROWTH PROTOCOL	TIME SERIES IMAGE ACQUISITION PROTOCOL	Time Series PNA	wild type genotype		270 minute	Time Series PNA vital test	Time-PNA-rh-vital-test(9).czi	Autoflourescence:Autofluorescence - green;PNA: Peanut agglutanin conjugated with rhodamine labelling basement membranes - red	X 1920 Y 1920 Z 247 C 2 V 4 T 27	/disk2/time series data/Time-PNA-rh-vital-test(9).czi	In IDR the time series .czi files are combined into images with a time dimension.  There is one multi-dimensional image per imaging angle.	raw
