Plate	Well	Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Z-score (Spindly)	"Z-score (Large, spread)"	Z-score (Triangular)	Z-score (Fan)	"Z-score (Round, small)"	Z-score (High nuclear YAP/TAZ)	Z-score (Low nuclear YAP/TAZ)	Z-score (High total YAP/TAZ)	Z-score (Low total YAP/TAZ)	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
MDA-MB-231_ONTARGETPlus_1A	C10	MDA-MB-231_ONTARGETPlus_1A_C10	L-026895-00	55785	FGD6		2.437774203	1.907994668						-2.164383881	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C11	MDA-MB-231_ONTARGETPlus_1A_C11	L-014602-00	80243	PREX2	1.863167443									yes	well	Spindly								
MDA-MB-231_ONTARGETPlus_1A	C12	MDA-MB-231_ONTARGETPlus_1A_C12	L-007794-00	390	RND3			2.151562101						-5.093476459	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C13	MDA-MB-231_ONTARGETPlus_1A_C13	L-010234-00	27237	ARHGEF16		1.696847329	1.88093162			3.751947239			-2.92922531	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C14	MDA-MB-231_ONTARGETPlus_1A_C14	L-003560-00	5879	RAC1		1.696847329							-2.398192436	yes	well		"Large, spread"							Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C15	MDA-MB-231_ONTARGETPlus_1A_C15	L-008370-01	128272	ARHGEF19		3.178701077	2.422192582						-2.298412787	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C16	MDA-MB-231_ONTARGETPlus_1A_C16	L-004121-01	115557	ARHGEF25	2.244877906		1.772679428						-2.353288918	yes	well	Spindly		Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C17	MDA-MB-231_ONTARGETPlus_1A_C17	L-009841-00	50618	ITSN2			1.718553331			5.537145204			-2.672327781	yes	well			Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C18	MDA-MB-231_ONTARGETPlus_1A_C18	L-010063-01	57580	PREX1		3.178701077	1.529111995						-1.678470566	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C19	MDA-MB-231_ONTARGETPlus_1A_C19	L-009421-00	9138	ARHGEF1			2.746949159						-2.726066903	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C20	MDA-MB-231_ONTARGETPlus_1A_C20	L-007794-00	390	RND3	1.863167443		3.558840603						-5.225089311	yes	well	Spindly		Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C21	MDA-MB-231_ONTARGETPlus_1A_C21	L-005195-00	6655	SOS2						2.794041515				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_ONTARGETPlus_1A	C22	MDA-MB-231_ONTARGETPlus_1A_C22	L-009313-01	23101	MCF2L2	2.88106201		2.070372957						-2.232565905	yes	well	Spindly		Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C3	MDA-MB-231_ONTARGETPlus_1A_C3	L-003904-00	4168	MCF2						1.944033886			-2.866684824	yes	well						High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C4	MDA-MB-231_ONTARGETPlus_1A_C4	L-009727-00	8153	RND2	3.644482935		3.152894881						-2.131013063	yes	well	Spindly		Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C5	MDA-MB-231_ONTARGETPlus_1A_C5	L-009654-00	23370	ARHGEF18					2.570734432					yes	well					"Round, small"				
MDA-MB-231_ONTARGETPlus_1A	C6	MDA-MB-231_ONTARGETPlus_1A_C6	L-008480-00	23365	ARHGEF12	5.425798428		3.721218891						-2.586270424	yes	well	Spindly		Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C8	MDA-MB-231_ONTARGETPlus_1A_C8	L-005093-00	7984	ARHGEF5	1.863167443	6.142408573							-3.186928805	yes	well	Spindly	"Large, spread"							Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	C9	MDA-MB-231_ONTARGETPlus_1A_C9	L-007741-00	5880	RAC2									-1.573576577	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	D10	MDA-MB-231_ONTARGETPlus_1A_D10	L-032389-01	440107	PLEKHG7			3.125831833						-3.979157737	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_ONTARGETPlus_1A	D11	MDA-MB-231_ONTARGETPlus_1A_D11	L-008434-00	26230	TIAM2		3.919627951	3.125831833			1.654688356			-4.749702617	yes	well		"Large, spread"	Triangular			High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
