Plate	Comment [Operetta Plate Name]	Comment [Operetta Measurement]	Plate Column	Plate Row	Well	Well Number	Comment [BioSamples Identifier]	Characteristics [Organism]	Comments
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	1	8	H1	85			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	2	8	H2	86			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	3	8	H3	87			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	4	8	H4	88			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	5	8	H5	89			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	6	8	H6	90			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	7	8	H7	91			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	8	8	H8	92			see idr0034 for images
experiment_10	HipSci Experiment 10 Plate 1	Measurement1	9	8	H9	93			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	1	7	G1	73			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	2	7	G2	74			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	3	7	G3	75			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	4	7	G4	76			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	5	7	G5	77			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	6	7	G6	78			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	7	7	G7	79			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	8	7	G8	80			see idr0034 for images
experiment_11	Experiment 11_hikj1 qanu2 Bob huls1 funp3 vopm2 qimz1 zisa3	Measurement1	9	7	G9	81			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	1	1	A1	1			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	2	1	A2	2			see idr0034 for images
experiment_12	HipSci Experiment 12 Plate 1	Measurement1	3	1	A3	3			see idr0034 for images
