PLATE	ERSyto	ERSytoBleed	Hoechst	Mito	Ph_golgi
20639	3456	3456	3456	3456	3456
20589	3456	3456	3456	3456	3456
20633	3456	3456	3456	3456	3456
20607	3456	3456	3456	3456	3456
20630	3456	3456	3456	3456	3456
20608	3456	3456	3456	3456	3456
20625	3456	3456	3456	3456	3456
20596	3456	3456	3456	3456	3456
20591	3456	3456	3456	3456	3456
20590	3456	3456	3456	3456	3456
20593	3456	3456	3456	3456	3456
20592	3456	3456	3456	3456	3456
20595	3456	3456	3456	3456	3456
20594	3456	3456	3456	3456	3456
20585	3456	3456	3456	3456	3456
20586	3456	3456	3456	3456	3456
20626	3456	3456	3456	3456	3456
20646	3456	3456	3456	3456	3456
20641	3456	3456	3456	3456	3456
20640	3456	3456	3456	3456	3456
