Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Term Source 2 REF	Term Source 2 Accession	Characteristics [Sex]	Term Source 3 REF	Term Source 3 Accession	Characteristics [Age]	Characteristics [Individual]	Characteristics [Organism Part]	Characteristics [Clinical Information]	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Individual]	Experimental Condition [Treatment Timepoint]	Experimental Condition [Treatment]	Experimental Condition [Sampling Timepoint]	Experimental Condition [Treatment Timepoint]_Experimental Condition [Treatment]	Dataset Name	Comment [Raw Data Capture]	Comment [Field]	Image File	Channels	Comment [Image File Type]	Comment [Image File Path]	Protocol REF	Processed Data File
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	1	3.50.6-3.140922_11-36-07.00.pattern	"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 50/day 6-3/time lapse/140922_11-36-07/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	2	3.50.6-3.140922_11-36-07.01.pattern	"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 50/day 6-3/time lapse/140922_11-36-07/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	3	3.50.6-3.140922_11-36-07.02.pattern	"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 50/day 6-3/time lapse/140922_11-36-07/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	4	3.50.6-3.140922_11-36-07.03.pattern	"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 50/day 6-3/time lapse/140922_11-36-07/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	5	3.50.6-3.140922_11-36-07.04.pattern	"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)"	raw	/treatment start day 3/mouse 50/day 6-3/time lapse/140922_11-36-07/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	1	Pos 00_all Ch_all TP_3D registered_crop.tif	RGB	processed	/treatment start day 3/mouse 50/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	2	Pos 01_all Ch_all TP_3D registered_crop.tif	RGB	processed	/treatment start day 3/mouse 50/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	3	Pos 02_all Ch_all TP_3D registered_crop.tif	RGB	processed	/treatment start day 3/mouse 50/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	4	Pos 03_all Ch_all TP_crop.tif	RGB	processed	/treatment start day 3/mouse 50/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
mouse 50	Mus musculus	NCBITaxon	NCBITaxon_10090	C57BL/6J	EFO	EFO_0000606	male	PATO	PATO_0000384	8 to 14 week old	mouse 50	tumor	OVA expressing tumor	treatment protocol	image aquistion and feature extraction protocol	TreatStartDay3_Control_Day3PostTreat_mouse50	mouse 50	3 days after tumor inoculation	control - cytotoxic T lymphocytes only	3 days after treatment start	3 days after tumor inoculation_control - cytotoxic T lymphocytes only	TreatStartDay3_Control_Day3PostTreat_mouse50	part 1 of 1	5	Pos 04_all Ch_all TP_crop.tif	RGB	processed	/treatment start day 3/mouse 50/day 6-3/processed 4D stacks/	data analysis protocol	idr0026-experimentA-processed.txt
