Experimental Condition [Target Gene]	Comment [Gene Symbol]	Comment [Glycosyltransferase Family]	Expression Pattern	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5
AT1G05570	ATGSL06	GT48	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT1G08660	MGP2	GT29	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT1G74800	GALT5	GT31	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT2G03220	FUT1	GT37	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT3G07160	ATGSL10	GT48	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT3G28180	ATCSLC04	GT2	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT3G62720	XXT1	GT34	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT4G03550	ATGSL05	GT48	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT4G04970	ATGSL01	GT48	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT4G11350	AT4G11350	GT31	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT4G32410	CESA1	GT2	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT5G03800	EMB175	GT47	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT5G05170	CESA3	GT2	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT5G16910	ATCSLD2	GT2	"Type1, apex expressed, uniform distribution"	yes	gene	"gene expressed in apex of shoot apical meristem, uniform distribution"				
AT5G44670	GALS2	GT92	"Type2, primordia;Type 3, strong dots/spots"	yes	gene		gene expressed in primordia of shoot apical meristem	gene expressed in strong dots/spots in shoot apical meristem		
AT4G20170	GALS3	GT92	"Type2, primordia;Type 4, spots along with general signal in apex"	yes	gene		gene expressed in primordia of shoot apical meristem		gene expressed in spots along with general signal in apex of shoot apical meristem	
AT1G14070	FUT7	GT37	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT1G14590	AT1G14590	GT77	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT1G20575	AT1G20575	GT2	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT1G32930	ATGALT31a	GT31	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT1G33250	AT1G33250	GT31	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT1G74380	XXT5	GT34	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT2G25300	AT2G25300	GT31	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT2G33570	GALS1	GT92	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT2G35100	ARAD1	GT47	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT2G35650	CSLA07	GT2	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT2G36850	ATGSL08	GT48	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT3G14960	AT3G14960	GT31	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT3G25140	GAUT8	GT8	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT3G59100	ATGSL11	GT48	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT4G02500	XXT2	GT34	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT4G26940	AT4G26940	GT31	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT5G09870	CESA5	GT2	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT5G16890	AT5G16890	GT47	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
AT5G18480	PGSIP6	GT8	"Type2, primordia"	yes	gene		gene expressed in primordia of shoot apical meristem			
