Plate,Well Number,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,ORF Identifier,hORFeome V5.1 Clone Description,ORF Comments,Reagent Design Gene Annotation Build,Gene Identifier,Gene Symbol,Analysis Gene Annotation Build,Control Type,Control Comments,Channels,Comments,Scored As Nuclear Foci At Initial Stage,Subcellular Localization Based On Secondary Screening,Scored Subcellular Localization By Secondary Screening,Has Phenotype,Phenotype Annotation Level,Phenotype 1,Phenotype 1 Term Name,Phenotype 1 Term Accession,Phenotype 2,Phenotype 2 Term Name,Phenotype 2 Term Accession,Phenotype 3,Phenotype 3 Term Name,Phenotype 3 Term Accession,Phenotype 4,Phenotype 4 Term Name,Phenotype 4 Term Accession,Phenotype 5,Phenotype 5 Term Name,Phenotype 5 Term Accession,Phenotype 6,Phenotype 6 Term Name,Phenotype 6 Term Accession,Phenotype 7,Phenotype 7 Term Name,Phenotype 7 Term Accession,Phenotype 8,Phenotype 8 Term Name,Phenotype 8 Term Accession
11001,1,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9994,"Homo sapiens zinc finger, CCHC domain containing 9",hORFeome V5.1 identifier,,84240,ZCCHC9,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,yes,yes,Nucleolus,yes,single replicate of reagent,,,,,,,,,,protein localized in nucleolus,protein localized in nucleolus phenotype,CMPO_0000397,,,,,,,,,,,,
11001,2,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,168,"Homo sapiens ribosomal protein L27a, mRNA (cDNA clone IMAGE:3906869), complete cds.",hORFeome V5.1 identifier,,84736,RPL27A,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,3,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2850,"Homo sapiens chromosome 8 open reading frame 43, mRNA (cDNA clone IMAGE:3866356).",hORFeome V5.1 identifier,,619434,NCRNA00051,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,4,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8745,Homo sapiens GATA binding protein 3,hORFeome V5.1 identifier,,2625,GATA3,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,5,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,1789,Homo sapiens piccolo (presynaptic cytomatrix protein,hORFeome V5.1 identifier,,27445,PCLO,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,6,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,2752,"Homo sapiens cDNA clone MGC:5619 IMAGE:3462332, complete cds.",hORFeome V5.1 identifier,,,,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,7,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,228,"Homo sapiens thymosin, beta 10",hORFeome V5.1 identifier,,9168,TMSB10,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,8,A8,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,8748,"Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha",hORFeome V5.1 identifier,,10554,AGPAT1,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,9,A9,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,54,Homo sapiens hypothetical protein from clone 643,hORFeome V5.1 identifier,,57228,SMAGP,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,10,A10,Homo sapiens,NCBITaxon,NCBITaxon_9606,HeLa,EFO,EFO_0001185,9786,Homo sapiens zinc finger protein 616,hORFeome V5.1 identifier,,90317,ZNF616,,,,DAPI:nuclei;TRITC:HA_Flag tagged protein,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
