siRNA Primer	Gene Identifier	Gene Symbol	siRNA Hit	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26
DRSC11330	FBgn0000212	brm	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell				Increased number of actin stress fibres	CMPO_0000289	increased amount of stress fibers																			increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass										microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC20229	FBgn0000319	Chc	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell				Increased number of actin stress fibres	CMPO_0000289	increased amount of stress fibers																			increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass							microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype	microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03438	FBgn0001961	Sop2	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC08714	FBgn0002183	dre4	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell													decreased level of actin	CMPO_0000106	decreased number of actin filament																						microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20370	FBgn0003345	sd	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11898	FBgn0003415	skd	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell	disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton							Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype																																																			
DRSC03347	FBgn0004838	Hrb27C	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20297	FBgn0005411	U2af50	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell																						decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC08688	FBgn0010333	Rac1	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20228	FBgn0010341	Cdc42	yes													cell shape processes or spiky or stretchy	CMPO_0000267	star shaped cell							Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
