Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
BRD-A31385885-001-02-1	BRD-A31385885	NERIIFOLIN	MicroSource Discovery Systems Inc.	yes					UseClass:8100 (cardiac stimulant)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-A35588707-001-02-2	BRD-A35588707	TENIPOSIDE	MicroSource Discovery Systems Inc.	yes			GO:0006915 (activates apoptosis);GO:0003918 (inhibits DNA topoisomerase (ATP-hydrolyzing) activity);GO:0030168 (inhibits platelet activation);GO:0007283 (inhibits spermatogenesis)	"MeSH:D001254 (Astrocytoma);""MeSH:D002289 (Carcinoma, Non-Small-Cell Lung)"";""MeSH:D018288 (Carcinoma, Small Cell)"";""MeSH:D008228 (Lymphoma, Non-Hodgkin)"";MeSH:D009182 (Mycosis Fungoides);MeSH:D009837 (Oligodendroglioma)"	UseClass:8066 (anti-neoplastic)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-A57089740-001-02-3	BRD-A57089740	PERUVOSIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8100 (cardiac stimulant)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-A64242993-001-02-3	BRD-A64242993	LANATOSIDE C	MicroSource Discovery Systems Inc.	yes					UseClass:8089 (cardiovascular agent)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-A71033472-003-05-6	BRD-A71033472	Fendiline hydrochloride	Prestwick Chemical Inc.	yes			GO:0004683 (inhibits calmodulin-dependent protein kinase activity)		UseClass:8092 (vasodilator)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-A93236127-001-02-9	BRD-A93236127	DIGITOXIN	MicroSource Discovery Systems Inc.	yes				MeSH:D006331 (Heart Diseases)	UseClass:8089 (cardiovascular agent)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-A94756469-001-02-1	BRD-A94756469	DIGOXIN	MicroSource Discovery Systems Inc.	yes					UseClass:8089 (cardiovascular agent)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K03842655-001-02-1	BRD-K03842655	PENITREM A	Biomol International Inc.	yes			GO:0015269 (inhibits calcium-activated potassium channel activity)		UseClass:8113 (cns agent)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K15025317-001-04-5	BRD-K15025317	BAY 11-7082	Biomol International Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K17953061-001-02-8	BRD-K17953061	staurosporine	Biomol International Inc.	yes		GeneID:6714 (inhibits SRC)	"GO:0000915 (affects cytokinesis, actomyosin contractile ring assembly);GO:0051256 (affects spindle midzone assembly involved in mitosis);GO:0004697 (inhibits protein kinase C activity)"			yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K61443650-236-02-4	BRD-K61443650	THIMEROSAL	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses)	UseClass:8104 (anti-bacterial);UseClass:8105 (anti-fungal);UseClass:8111 (antiseptic)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K62792802-001-02-8	BRD-K62792802	LY-83583	Biomol International Inc.	yes			GO:0004383 (inhibits guanylate cyclase activity)	MeSH:D000707 (Anaphylaxis)	UseClass:8073 (immunomodulator)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K68143200-001-02-6	BRD-K68143200	NSC-95397	Biomol International Inc.	yes		GeneID:993 (inhibits CDC25A);GeneID:994 (inhibits CDC25B);GeneID:995 (inhibits CDC25C)	GO:0008219 (activates cell death);GO:0071850 (activates mitotic cell cycle arrest);GO:0008283 (inhibits cell proliferation);GO:0000086 (inhibits G2/M transition of mitotic cell cycle)			yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
BRD-K91370081-001-04-6	BRD-K91370081	anisomycin	Biomol International Inc.	yes				MeSH:D007239 (Infection);MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal);UseClass:8103 (anti-infective agent);UseClass:8113 (cns agent)	yes	yes	multiple replicates of a reagent	cellular response to chemical stimulus	decreased cell numbers
