Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Replicate Group	Plate Issues
JL_120731_S6A	1	A1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC27E2.03c	SPAC27E2.03c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	2	A2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	gto2	SPAC30D11.01c	gto2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	3	A3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC343.04c	SPAC343.04c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	4	A4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tip1	SPAC3C7.12	tip1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	5	A5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC3H1.05	SPAC3H1.05						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	6	A6									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	7	A7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	8	A8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	9	A9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	10	A10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	11	A11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	12	A12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	13	B1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC27F1.06c	SPAC27F1.06c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	14	B2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	abo1	SPAC31G5.19	abo1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	15	B3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	sod22	SPAC3A11.09	sod22					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	16	B4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	trk1	SPAC3F10.02c	trk1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	17	B5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC3H1.06c	SPAC3H1.06c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	18	B6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC4F8.11	SPAC4F8.11						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	19	B7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	20	B8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	21	B9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	22	B10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120731_S6A	23	B11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
