Gene Identifier	Gene Symbol	Reproducibility of Shape Hits	Reproducibility of Microtubule Hits	Reproducibility of Cell Cycle Progression Hits	Visual Shape Hit	Visual Microtubule Hit	Conservation in S. cerevisiae	Conservation in Vertebrates	Conservation in H. sapiens	Has Phenotype	Mineotaur Hit Type	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19
SPAC1006.03c	red1		3/8		yes		yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC1142.07c	vps32	7/7	3/6		yes	yes	yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase						viable stubby vegetative cell	viable vegetative cell with abnormal cell shape											
SPAC11E3.13c	gas5		2/5				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC11G7.02	pub1	8/9					yes	yes		yes	shape hit	gene							viable stubby vegetative cell	viable vegetative cell with abnormal cell shape		viable pear-shaped vegetative cell									
SPAC11G7.04	ubi1	4/7	4/6				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPAC11G7.06c	mug132	6/7						yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPAC12B10.10			4/9				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC13C5.07	mre11	8/8	5/7			yes	yes	yes		yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPAC13G7.02c	ssa1		2/5				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC13G7.03	upf3		3/8				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC140.02	gar2			3/8						yes	cell cycle hit	gene													IP increased					PAA reduced	
SPAC144.06	apl5		3/6				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC14C4.10c		3/7			yes		yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPAC1527.01	mok11		5/8				yes	yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC1556.01c	rad50	7/8	5/6		yes	yes	yes	yes		yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPAC15E1.02c			3/7				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC1610.02c		3/8	6/8	3/6			yes	yes	yes	yes	shape hit;microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape					IP increased					PAA reduced	
SPAC1687.08			3/8				yes			yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC16C9.05	cph1	8/8	6/8				yes	yes		yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPAC16C9.06c	upf1	4/10			yes		yes	yes		yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPAC16E8.01	shd1	9/9						yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPAC16E8.08		4/7					yes	yes	yes	yes	shape hit	gene								viable vegetative cell with abnormal cell shape											
SPAC1782.05	ypa2	3/8			yes	yes	yes	yes	yes	yes	shape hit	gene							viable stubby vegetative cell	viable vegetative cell with abnormal cell shape											
SPAC1782.11	met14	5/7	4/5				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase							viable vegetative cell with abnormal cell shape											
SPAC1783.02c	vps66		5/8	5/8			yes	yes	yes	yes	microtubule hit;cell cycle hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase			microtubule bundles present in greater numbers									IP increased			SP reduced		PAA reduced	
SPAC17A2.09c	csx1	10/10	5/8				yes	yes	yes	yes	shape hit;microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase					viable elongated vegetative cell		viable vegetative cell with abnormal cell shape											
SPAC17A5.07c	ulp2		3/8				yes	yes	yes	yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
SPAC17A5.08	erp2		2/5					yes		yes	microtubule hit	gene	abnormal microtubule cytoskeleton morphology during mitotic interphase																		
