Plate	Well	Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Z-score (Spindly)	"Z-score (Large, spread)"	Z-score (Triangular)	Z-score (Fan)	"Z-score (Round, small)"	Z-score (High nuclear YAP/TAZ)	Z-score (Low nuclear YAP/TAZ)	Z-score (High total YAP/TAZ)	Z-score (Low total YAP/TAZ)	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
LM2_ONTARGETPlus_1A	C10	LM2_ONTARGETPlus_1A_C10	L-026895-00	55785	FGD6		1.754425239					-1.692497457		-2.04456539	yes	well		"Large, spread"					Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C12	LM2_ONTARGETPlus_1A_C12	L-007794-00	390	RND3							-2.301255302		-4.10220218	yes	well							Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C14	LM2_ONTARGETPlus_1A_C14	L-003560-00	5879	RAC1									-1.586590024	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C17	LM2_ONTARGETPlus_1A_C17	L-009841-00	50618	ITSN2						2.708638836			-2.212386954	yes	well						High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C20	LM2_ONTARGETPlus_1A_C20	L-007794-00	390	RND3	2.378009521						-2.279729692		-4.396941089	yes	well	Spindly						Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C21	LM2_ONTARGETPlus_1A_C21	L-005195-00	6655	SOS2	3.211397338				5.753202321			2.038402691		yes	well	Spindly				"Round, small"			High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_ONTARGETPlus_1A	C3	LM2_ONTARGETPlus_1A_C3	L-003904-00	4168	MCF2		3.525721527	2.961644563					-7.854869629	-7.854869629	yes	well		"Large, spread"	Triangular					High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C4	LM2_ONTARGETPlus_1A_C4	L-009727-00	8153	RND2			2.704588462						-4.956948378	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_ONTARGETPlus_1A	C5	LM2_ONTARGETPlus_1A_C5	L-009654-00	23370	ARHGEF18	2.322450333				7.534321301		-2.782390957	2.132999693		yes	well	Spindly				"Round, small"		Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_ONTARGETPlus_1A	C6	LM2_ONTARGETPlus_1A_C6	L-008480-00	23365	ARHGEF12	1.711299267								-2.070306942	yes	well	Spindly								Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
