Replicate,Plate,Well,Well Number,siRNA Identifier,Gene Identifier %% url=http://www.ensembl.org/id/%s,Gene Symbol,Control Type,Control Comments,Quality Control,Median Deviation Fraction - Shorter Prophase,Median Deviation Fraction - Longer Prophase,Phenotype Reproducibility - Shorter Prophase,Phenotype Reproducibility - Longer Prophase,Phenotype 1,Ontology Term Name 1,Term Source Accession 1,Phenotype 2,Ontology Term Name 2,Term Source Accession 2
2,plate2_3_018,A1,1,s2748,ENSG00000117399,CDC20,positive control,early mitotic phenotype,fail,,,,,,,,,,
2,plate2_3_018,A10,10,s5682,ENSG00000164404,GDF9,,,pass,,,,,,,,,,
2,plate2_3_018,A11,11,s27482,ENSG00000126524,SBDS,,,pass,0.11,0.06,1/2,0,,,,,,
2,plate2_3_018,A12,12,s73,ENSG00000116478,HDAC1,,,pass,0.07,-0.03,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,A2,2,s11725,ENSG00000164754,RAD21,,,pass,0.05,-0.02,1/4,0,,,,,,
2,plate2_3_018,A3,3,s22777,ENSG00000100813,ACIN1,,,pass,,,,,,,,,,
2,plate2_3_018,A4,4,s20069,ENSG00000105127,AKAP8,,,pass,-0.16,0.03,1/4,1/4,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,A5,5,s12835,ENSG00000196470,SIAH1,,,pass,0.22,-0.07,1/4,0,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,A6,6,s7912,ENSG00000079616,KIF22,,,pass,-0.09,0.03,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,A7,7,s19321,ENSG00000066455,GOLGA5,,,pass,,,,,,,,,,
2,plate2_3_018,A8,8,s17227,ENSG00000144744,UBA3,,,pass,-0.07,-0.03,0,0,,,,,,
2,plate2_3_018,A9,9,s51513,"ENSG00000197448,ENSG00000250907","GSTK1,AC073342.3",,,pass,-0.02,-0.08,0,0,,,,,,
2,plate2_3_018,B1,13,s19031,ENSG00000101003,GINS1,,,pass,-0.12,0.06,0,1/4,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,B10,22,s8179,ENSG00000174405,LIG4,,,pass,0.08,-0.08,0,0,,,,,,
2,plate2_3_018,B11,23,s444246,,,negative control,non-targetting siRNA,pass,,,,,,,,,,
2,plate2_3_018,B12,24,s25213,ENSG00000164880,INTS1,,,pass,0.21,0.01,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,longer prophase,increased duration of mitotic prophase,CMPO_0000328
2,plate2_3_018,B2,14,s22005,ENSG00000184489,PTP4A3,,,pass,-0.07,0.02,0,0,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,B3,15,s3497,ENSG00000005339,CREBBP,,,pass,,,,,,,,,,
2,plate2_3_018,B4,16,s10142,ENSG00000131165,CHMP1A,,,pass,,,,,,,,,,
2,plate2_3_018,B5,17,s7424,ENSG00000149503,INCENP,positive control,late mitotic phenotype,fail,,,,,,,,,,
2,plate2_3_018,B6,18,s10774,ENSG00000101868,POLA1,,,pass,-0.05,0.11,0,1/3,,,,,,
2,plate2_3_018,B7,19,s27483,ENSG00000126524,SBDS,,,pass,0.26,-0.08,1/3,0,,,,,,
2,plate2_3_018,B8,20,s12068,ENSG00000121481,RNF2,,,pass,0.08,-0.12,0,0,,,,,,
2,plate2_3_018,B9,21,s9676,ENSG00000181163,NPM1,,,pass,0.04,0.06,0,0,,,,,,
2,plate2_3_018,C1,25,s444246,,,negative control,non-targetting siRNA,pass,,,,,,,,,,
2,plate2_3_018,C10,34,s2745,ENSG00000094804,CDC6,,,pass,,,,,,,,,,
2,plate2_3_018,C11,35,s64,ENSG00000145632,PLK2,,,pass,0.07,-0.05,0,0,,,,,,
2,plate2_3_018,C12,36,s150,ENSG00000150687,PRSS23,,,pass,0.08,-0.03,1/3,0,,,,,,
2,plate2_3_018,C2,26,s14498,ENSG00000127824,TUBA4A,,,pass,-0.04,0.03,0,1/4,,,,,,
2,plate2_3_018,C3,27,s793,ENSG00000113522,RAD50,,,pass,0.02,-0.05,1/4,0,,,,,,
2,plate2_3_018,C4,28,s7911,ENSG00000079616,KIF22,,,pass,0.18,-0.03,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,C5,29,s50854,ENSG00000187166,H1FNT,,,pass,-0.22,0.04,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,C6,30,s17440,ENSG00000156709,AIFM1,,,pass,,,,,,,,,,
2,plate2_3_018,C7,31,s2085,ENSG00000139618,BRCA2,,,pass,-0.08,0.06,0,1/4,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,C8,32,s74,ENSG00000116478,HDAC1,,,pass,0.32,-0.08,3/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,C9,33,s464,ENSG00000170312,CDK1,,,fail,-0.42,0.21,0,2/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
2,plate2_3_018,D1,37,s19540,ENSG00000113810,SMC4,,,fail,0.41,-0.02,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,D10,46,s226802,ENSG00000146918,NCAPG2,,,pass,0.43,-0.12,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,D11,47,s20793,ENSG00000136824,SMC2,,,pass,0.4,-0.08,3/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
2,plate2_3_018,D12,48,s16194,ENSG00000128708,HAT1,,,pass,0,-0.03,0,0,,,,,,
