Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Characteristics Comments	siRNA Pool Identifier	siRNA Library Name	Reagent Design Gene Annotation Build	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Annotation Comments	RefSeq Locus	RefSeq GI Number	Analysis Gene Annotation Build	Control Type	Control Comments	Quality Control	Quality Control Comments	Channels	Comments
LM2_siGENOME_1A	1	A1	LM2_siGENOME_1A_A1																empty well					
LM2_siGENOME_1A	2	A2	LM2_siGENOME_1A_A2																empty well					
LM2_siGENOME_1A	3	A3	LM2_siGENOME_1A_A3																empty well					
LM2_siGENOME_1A	4	A4	LM2_siGENOME_1A_A4																empty well					
LM2_siGENOME_1A	5	A5	LM2_siGENOME_1A_A5																empty well					
LM2_siGENOME_1A	6	A6	LM2_siGENOME_1A_A6																empty well					
LM2_siGENOME_1A	7	A7	LM2_siGENOME_1A_A7																empty well					
LM2_siGENOME_1A	8	A8	LM2_siGENOME_1A_A8																empty well					
LM2_siGENOME_1A	9	A9	LM2_siGENOME_1A_A9																empty well					
LM2_siGENOME_1A	10	A10	LM2_siGENOME_1A_A10																empty well					
LM2_siGENOME_1A	11	A11	LM2_siGENOME_1A_A11																empty well					
LM2_siGENOME_1A	12	A12	LM2_siGENOME_1A_A12																empty well					
LM2_siGENOME_1A	13	A13	LM2_siGENOME_1A_A13																empty well					
LM2_siGENOME_1A	14	A14	LM2_siGENOME_1A_A14																empty well					
LM2_siGENOME_1A	15	A15	LM2_siGENOME_1A_A15																empty well					
LM2_siGENOME_1A	16	A16	LM2_siGENOME_1A_A16																empty well					
LM2_siGENOME_1A	17	A17	LM2_siGENOME_1A_A17																empty well					
LM2_siGENOME_1A	18	A18	LM2_siGENOME_1A_A18																empty well					
LM2_siGENOME_1A	19	A19	LM2_siGENOME_1A_A19																empty well					
LM2_siGENOME_1A	20	A20	LM2_siGENOME_1A_A20																empty well					
LM2_siGENOME_1A	21	A21	LM2_siGENOME_1A_A21																empty well					
LM2_siGENOME_1A	22	A22	LM2_siGENOME_1A_A22																empty well					
LM2_siGENOME_1A	23	A23	LM2_siGENOME_1A_A23																empty well					
LM2_siGENOME_1A	24	A24	LM2_siGENOME_1A_A24																empty well					
LM2_siGENOME_1A	25	B1	LM2_siGENOME_1A_B1																empty well					
LM2_siGENOME_1A	26	B2	LM2_siGENOME_1A_B2																empty well					
LM2_siGENOME_1A	27	B3	LM2_siGENOME_1A_B3																empty well					
LM2_siGENOME_1A	28	B4	LM2_siGENOME_1A_B4																empty well					
LM2_siGENOME_1A	29	B5	LM2_siGENOME_1A_B5																empty well					
LM2_siGENOME_1A	30	B6	LM2_siGENOME_1A_B6																empty well					
LM2_siGENOME_1A	31	B7	LM2_siGENOME_1A_B7																empty well					
LM2_siGENOME_1A	32	B8	LM2_siGENOME_1A_B8																empty well					
LM2_siGENOME_1A	33	B9	LM2_siGENOME_1A_B9																empty well					
LM2_siGENOME_1A	34	B10	LM2_siGENOME_1A_B10																empty well					
LM2_siGENOME_1A	35	B11	LM2_siGENOME_1A_B11																empty well					
LM2_siGENOME_1A	36	B12	LM2_siGENOME_1A_B12																empty well					
LM2_siGENOME_1A	37	B13	LM2_siGENOME_1A_B13																empty well					
LM2_siGENOME_1A	38	B14	LM2_siGENOME_1A_B14																empty well					
LM2_siGENOME_1A	39	B15	LM2_siGENOME_1A_B15																empty well					
LM2_siGENOME_1A	40	B16	LM2_siGENOME_1A_B16																empty well					
LM2_siGENOME_1A	41	B17	LM2_siGENOME_1A_B17																empty well					
LM2_siGENOME_1A	42	B18	LM2_siGENOME_1A_B18																empty well					
LM2_siGENOME_1A	43	B19	LM2_siGENOME_1A_B19																empty well					
LM2_siGENOME_1A	44	B20	LM2_siGENOME_1A_B20																empty well					
LM2_siGENOME_1A	45	B21	LM2_siGENOME_1A_B21																empty well					
