Plate,Well,Well Number,siRNA Primer %% url=http://www.flyrnai.org/cgi-bin/RNAi_gene_lookup_public.pl?gname=%s,Gene Identifier %%  url=http://www.ensembl.org/id/%s,Gene Symbol,CAN Repeats,Off Target Effects,Control Type,Control Comments,Quality Control,siRNA Hit,Phenotype 1,Term Source Accession 1,Ontology Term Name 1,Phenotype 2,Term Source Accession 2,Ontology Term Name 2,Phenotype 3,Term Source Accession 3,Ontology Term Name 3,Phenotype 4,Term Source Accession 4,Ontology Term Name 4,Phenotype 5,Term Source Accession 5,Ontology Term Name 5,Phenotype 6,Term Source Accession 6,Ontology Term Name 6,Phenotype 7,Term Source Accession 7,Ontology Term Name 7,Phenotype 8,Term Source Accession 8,Ontology Term Name 8,Phenotype 9,Term Source Accession 9,Ontology Term Name 9,Phenotype 10,Term Source Accession 10,Ontology Term Name 10,Phenotype 11,Term Source Accession 11,Ontology Term Name 11,Phenotype 12,Term Source Accession 12,Ontology Term Name 12,Phenotype 13,Term Source Accession 13,Ontology Term Name 13,Phenotype 14,Term Source Accession 14,Ontology Term Name 14,Phenotype 15,Term Source Accession 15,Ontology Term Name 15,Phenotype 16,Term Source Accession 16,Ontology Term Name 16,Phenotype 17,Term Source Accession 17,Ontology Term Name 17,Phenotype 18,Term Source Accession 18,Ontology Term Name 18,Phenotype 19,Term Source Accession 19,Ontology Term Name 19,Phenotype 20,Term Source Accession 20,Ontology Term Name 20,Phenotype 21,Term Source Accession 21,Ontology Term Name 21,Phenotype 22,Term Source Accession 22,Ontology Term Name 22,Phenotype 23,Term Source Accession 23,Ontology Term Name 23,Phenotype 24,Term Source Accession 24,Ontology Term Name 24,Phenotype 25,Term Source Accession 25,Ontology Term Name 25,Phenotype 26,Term Source Accession 26,Ontology Term Name 26
001B30_S2R,A1,1,,,,0,0,no siRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A2,2,,,,0,0,no siRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A3,3,DRSC00274,FBgn0067779,dbr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A4,4,DRSC00646,FBgn0031390,tho2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A5,5,DRSC00307,FBgn0031216,CG11376,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A6,6,DRSC00324,FBgn0031391,CG11723,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A7,7,DRSC00762,FBgn0026787,Nhe1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A8,8,DRSC00273,FBgn0027509,CG7261,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A9,9,DRSC00758,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B30_S2R,A10,10,DRSC00696,FBgn0031392,AIF,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
