siRNA_ID,Gene_Symbol,Entity_Identifier,Median Deviation Fraction - Shorter Prophase,Median Deviation Fraction - Longer Prophase,Phenotype Reproducibility - Shorter Prophase,Phenotype Reproducibility - Longer Prophase,Phenotype,Term Name,Term Source REF,Term Source Accession,Phenotype,Term Name,Term Source REF,Term Source Accession
s106,TOP2B,ENSG00000077097,0.24,-0.14,0,0,,,,,,,,
s107,TOP2B,ENSG00000077097,-0.16,0.06,0,0,,,,,,,,
s10773,POLA1,ENSG00000101868,0.15,0.03,1/4,0,,,,,,,,
s10774,POLA1,ENSG00000101868,-0.05,0.11,0,1/3,,,,,,,,
s11206,PRM1,ENSG00000175646,0.14,-0.08,1/3,0,,,,,,,,
s11207,PRM1,ENSG00000175646,0.08,-0.01,1/4,0,,,,,,,,
s11209,PRM2,ENSG00000122304,-0.01,0.03,0,0,,,,,,,,
s11211,PRM2,ENSG00000122304,not available,not available,0,0,,,,,,,,
s11336,PSMA4,ENSG00000041357,0.07,-0.05,0,0,,,,,,,,
s11338,PSMA4,ENSG00000041357,not available,not available,0,1/1,,,,,,,,
s11725,RAD21,ENSG00000164754,0.05,-0.02,1/4,0,,,,,,,,
s11726,RAD21,ENSG00000164754,0.08,0.11,0,1/4,,,,,,,,
s11738,RAD51C,ENSG00000108384,0.12,-0.04,1/4,1/4,,,,,,,,
s11739,RAD51C,ENSG00000108384,-0.04,0.01,0,0,,,,,,,,
s11746,RAD52,ENSG00000002016,not available,not available,not available,not available,,,,,,,,
s11747,RAD52,ENSG00000002016,0.01,0.04,1/4,1/4,,,,,,,,
s11767,RAN,ENSG00000132341,0.24,-0.16,3/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s11769,RAN,ENSG00000132341,0.44,-0.07,3/4,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s12067,RNF2,ENSG00000121481,-0.04,0,0,0,,,,,,,,
s12068,RNF2,ENSG00000121481,0.08,-0.12,0,0,,,,,,,,
s12835,SIAH1,ENSG00000196470,0.22,-0.07,1/4,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s12836,SIAH1,ENSG00000196470,-0.09,0.11,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s12889,SKP1A,ENSG00000113558,-0.07,0.02,0,0,,,,,,,,
s12890,SKP1A,ENSG00000113558,0.08,-0.05,0,0,,,,,,,,
s13770,TAL1,ENSG00000162367,-0.01,-0.01,0,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s14304,TOP1,ENSG00000198900,0.19,-0.07,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s14305,TOP1,ENSG00000198900,0.03,0.07,0,1/2,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,,,,
s14307,TOP2A (Q71UN1_HUMAN),ENSG00000131747,-0.07,0.02,1/4,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s14308,TOP2A (Q71UN1_HUMAN),ENSG00000131747,-0.1,0.11,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s14496,TUBA4A,ENSG00000127824,0.19,0.03,0,0,,,,,,,,
s14498,TUBA4A,ENSG00000127824,-0.04,0.03,0,1/4,,,,,,,,
s14700,UQCRC1,ENSG00000010256,0.02,0.09,0,1/4,,,,,,,,
s14701,UQCRC1,ENSG00000010256,0.07,-0.05,0,0,,,,,,,,
s150,PRSS23,ENSG00000150687,0.08,-0.03,1/3,0,,,,,,,,
s152,PRSS23,ENSG00000150687,0.12,-0.02,0,0,,,,,,,,
s15532,MYST3(KATE6A),ENSG00000083168,0.02,0.1,1/3,2/3,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s15534,MYST3(KATE6A),ENSG00000083168,-0.09,0.02,1/3,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s15751,SMC1A,ENSG00000072501,0.03,0.07,0,2/4,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s15752,SMC1A,ENSG00000072501,0.28,-0.07,1/2,0,longer prophase,increased duration of mitotic prophase,CMPO,CMPO_0000328,,,,
s15754,ARD1A(NAA10),ENSG00000102030,-0.06,0.11,0,2/4,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,longer prophase,increased duration of mitotic prophase,,CMPO_0000328
s15755,ARD1A(NAA10),ENSG00000102030,0.28,-0.07,2/2,0,shorter prophase,decreased duration of mitotic prophase,CMPO,CMPO_0000329,longer prophase,increased duration of mitotic prophase,,CMPO_0000328
