Plate,Well Number,Well,Gene Identifier %%  url=http://www.ensembl.org/id/%s,Gene Symbol,Alias,Description,GO Biological Process,GO Molecular Function,GO Cellular Component,GO Term,Strain,Batch,Control Type,Control Comments,Quality Control,Comment,Number Of Cells,Number of Cells with Foci,Percentage Cells With Foci,Author Hit,Phenotype
P101,1,A1,,empty/not available,,,,,,,,,empty/not available,,,images not available,,,,,
P101,2,A2,YAL068C,PAU8,,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions","sporulation resulting in formation of a cellular spore, transcription, RNA metabolic process",molecular_function,cellular_component,"RNA metabolic process, cellular_component, molecular_function, sporulation, transcription",BY4739,01_1,,,,,217,7,3.2,no,
P101,3,A3,YAL067C,SEO1,,"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide",transport,transporter activity,membrane,"membrane, transport, transporter activity",BY4739,01_1,,,,,264,20,7.6,no,
P101,4,A4,YAL066W,,,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,224,8,3.6,no,
P101,5,A5,YAL065C,,,Putative protein of unknown function; has homology to FLO1; possible pseudogene,biological_process,molecular_function,cellular_component,"biological_process, cellular_component, molecular_function",BY4739,01_1,,,,,230,11,4.8,no,
P101,6,A6,YAL062W,GDH3,FUN51,"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources",cellular amino acid and derivative metabolic process,oxidoreductase activity,"nucleus, mitochondrion, cytoplasm","amino acid and derivative metabolic process, mitochondrion, nucleus, other, oxidoreductase activity",BY4739,01_1,,,,,262,6,2.3,no,
P101,7,A7,YAL061W,BDH2,,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,biological_process,oxidoreductase activity,"nucleus, cytoplasm","biological_process, cytoplasm, nucleus, oxidoreductase activity",BY4739,01_1,,,,,208,12,5.8,no,
P101,8,A8,YAL060W,BDH1,"(2R,3R)-2,3-butanediol dehydrogenase|BDH","NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",other,oxidoreductase activity,cytoplasm,"cytoplasm, other, oxidoreductase activity",BY4739,01_1,,,,,221,6,2.7,no,
P101,9,A9,YAL059W,ECM1,,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,"transport, fungal-type cell wall organization, ribosome biogenesis",molecular_function,"nucleus, nucleolus","cell wall organization and biogenesis, molecular_function, nucleolus, nucleus, organelle organization and biogenesis, ribosome biogenesis, transport",BY4739,01_1,,,,,180,6,3.3,no,
P101,10,A10,YAL058W,CNE1,FUN48,"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast","protein folding, cellular protein catabolic process",protein binding,"membrane, endomembrane system, endoplasmic reticulum, cytoplasm","cytoplasm, endomembrane system, endoplasmic reticulum, membrane, protein binding, protein catabolic process, protein folding",BY4739,01_1,,,,,326,0,0,no,
P101,11,A11,YAL056W,GPB2,KRH1,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p","signaling process, transcription, response to chemical stimulus, sporulation resulting in formation of a cellular spore, pseudohyphal growth, RNA metabolic process","enzyme regulator activity, signal transducer activity, protein binding","mitochondrion, membrane, cytoplasm, plasma membrane","RNA metabolic process, cytoplasm, enzyme regulator activity, mitochondrion, other, plasma membrane, protein binding, pseudohyphal growth, response to chemical stimulus, signal transducer activity, signal transduction, sporulation, transcription",BY4739,01_1,,,,images not available,288,12,4.2,no,
P101,12,A12,YAL055W,PEX22,YAF5,"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation","transport, signaling process, peroxisome organization",protein binding,"peroxisome, membrane, cytoplasm","cytoplasm, membrane, organelle organization and biogenesis, peroxisome, protein binding, signal transduction, transport",BY4739,01_1,,,,images not available,208,20,9.6,no,
P101,13,B1,YAL053W,FLC2,HUF2,Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance,"transport, protein folding",transporter activity,"endoplasmic reticulum, cytoplasm","cell wall organization and biogenesis, cytoplasm, endoplasmic reticulum, protein folding, transport, transporter activity",BY4739,01_1,,,,,225,3,1.3,no,
P101,14,B2,YAL051W,OAF1,YAF1,"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis","cellular lipid metabolic process, transcription, peroxisome organization","transcription regulator activity, DNA binding",nucleus,"DNA binding, lipid metabolic process, nucleus, organelle organization and biogenesis, response to chemical stimulus, transcription, transcription regulator activity",BY4739,01_1,,,,,207,3,1.4,no,
