Plate,Well Number,Well,siRNA Identifier,siRNA Pool Name,siRNA Catalog Number,Gene Identifier %% http://www.ncbi.nlm.nih.gov/nuccore/accession/%s,Ensembl 56 Gene Symbol,Control Type,Control Comments,Comments,Final Well Hit status Actinome 1,Final Well Hit Status Actinome 2,Overall Hit Gene Consensus,Has Phenotypes,Phenotype 1,Term Source Accession 1,Ontology Term Name 1,Phenotype 2,Term Source Accession 2,Ontology Term Name 2,Phenotype 3,Term Source Accession 3,Ontology Term Name 3,Phenotype 4,Term Source Accession 4,Ontology Term Name 4,Phenotype 5,Term Source Accession 5,Ontology Term Name 5,Phenotype 6,Term Source Accession 6,Ontology Term Name 6,Phenotype 7,Term Source Accession 7,Ontology Term Name 7,Phenotype 8,Term Source Accession 8,Ontology Term Name 8,Phenotype 9,Term Source Accession 9,Ontology Term Name 9,Phenotype 10,Term Source Accession 10,Ontology Term Name 10,Phenotype 11,Term Source Accession 11,Ontology Term Name 11,Phenotype 12,Term Source Accession 12,Ontology Term Name 12,Phenotype 13,Term Source Accession 13,Ontology Term Name 13,Phenotype 14,Term Source Accession 14,Ontology Term Name 14,Phenotype 15,Term Source Accession 15,Ontology Term Name 15,Phenotype 16,Term Source Accession 16,Ontology Term Name 16,Phenotype 17,Term Source Accession 17,Ontology Term Name 17,Phenotype 18,Term Source Accession 18,Ontology Term Name 18,Phenotype 19,Term Source Accession 19,Ontology Term Name 19,Phenotype 20,Term Source Accession 20,Ontology Term Name 20,Phenotype 21,Term Source Accession 21,Ontology Term Name 21,Phenotype 22,Term Source Accession 22,Ontology Term Name 22,Phenotype 23,Term Source Accession 23,Ontology Term Name 23,Phenotype 24,Term Source Accession 24,Ontology Term Name 24,Phenotype 25,Term Source Accession 25,Ontology Term Name 25,Phenotype 26,Term Source Accession 26,Ontology Term Name 26,Phenotype 27,Term Source Accession 27,Ontology Term Name 27,Phenotype 28,Term Source Accession 28,Ontology Term Name 28,Phenotype 29,Term Source Accession 29,Ontology Term Name 29,Phenotype 30,Term Source Accession 30,Ontology Term Name 30,Phenotype 31,Term Source Accession 31,Ontology Term Name 31,Phenotype 32,Term Source Accession 32,Ontology Term Name 32,Phenotype 33,Term Source Accession 33,Ontology Term Name 33,Phenotype 34,Term Source Accession 34,Ontology Term Name 34,Phenotype 35,Term Source Accession 35,Ontology Term Name 35,Phenotype 36,Term Source Accession 36,Ontology Term Name 36,Phenotype 37,Term Source Accession 37,Ontology Term Name 37,Phenotype 38,Term Source Accession 38,Ontology Term Name 38,Phenotype 39,Term Source Accession 39,Ontology Term Name 39,Phenotype 40,Term Source Accession 40,Ontology Term Name 40
Plate1_Actinome2,1,A1,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,2,A2,,,,,,,,annotation not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,3,A3,siCONTROL,siCONTROL,,,,negative control,scrambled siRNA sequence,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,4,A4,siCONTROL,siCONTROL,,,,negative control,scrambled siRNA sequence,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,5,A5,ABI1 pool,ABI1,,NM_005470,,,,,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,6,A6,CYFIP2 pool,CYFIP2,,NM_014376,,,,,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,7,A7,ABI2 pool,ABI2,,NM_005759,,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,8,A8,DAAM1 pool,DAAM1,,NM_014992,,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,9,A9,ABL1 pool,ABL1,,NM_007313,,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate1_Actinome2,10,A10,DAAM2 pool,DAAM2,,NM_015345,,,,,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
