OriginalPlateName	PlateNameReadable
2011-11-17_X-Man_LOPAC_X01_LP_S01_1	AKT1-/-_&_AKT2-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X01_LP_S01_2	AKT1-/-_&_AKT2-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X01_LP_S02_1	AKT1-/-_&_AKT2-/-_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X01_LP_S02_2	AKT1-/-_&_AKT2-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X01_LP_S03_1	AKT1-/-_&_AKT2-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X01_LP_S03_2	AKT1-/-_&_AKT2-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X01_LP_S04_1	AKT1-/-_&_AKT2-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X01_LP_S04_2	AKT1-/-_&_AKT2-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X02_LP_S01_1	MEK2-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X02_LP_S01_2	MEK2-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X02_LP_S02_1	MEK2-/-_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X02_LP_S02_2	MEK2-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X02_LP_S03_1	MEK2-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X02_LP_S03_2	MEK2-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X02_LP_S04_1	MEK2-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X02_LP_S04_2	MEK2-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X03_LP_S01_1	AKT1-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X03_LP_S01_2	AKT1-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X03_LP_S02_1	AKT1-/-_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X03_LP_S02_2	AKT1-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X03_LP_S03_1	AKT1-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X03_LP_S03_2	AKT1-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X03_LP_S04_1	AKT1-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X03_LP_S04_2	AKT1-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X04_LP_S01_1	CTNNB1_mt-/wt+_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X04_LP_S01_2	CTNNB1_mt-/wt+_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X04_LP_S02_1	CTNNB1_mt-/wt+_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X04_LP_S02_2	CTNNB1_mt-/wt+_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X04_LP_S03_1	CTNNB1_mt-/wt+_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X04_LP_S03_2	CTNNB1_mt-/wt+_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X04_LP_S04_1	CTNNB1_mt-/wt+_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X04_LP_S04_2	CTNNB1_mt-/wt+_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X05_LP_S01_1	PARENTAL007_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X05_LP_S01_2	PARENTAL007_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X05_LP_S02_1	PARENTAL007_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X05_LP_S02_2	PARENTAL007_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X05_LP_S03_1	PARENTAL007_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X05_LP_S03_2	PARENTAL007_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X05_LP_S04_1	PARENTAL007_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X05_LP_S04_2	PARENTAL007_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X06_LP_S01_1	P53-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X06_LP_S01_2	P53-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X06_LP_S02_1	P53-/-_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X06_LP_S02_2	P53-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X06_LP_S03_1	P53-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X06_LP_S03_2	P53-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X06_LP_S04_1	P53-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X06_LP_S04_2	P53-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X07_LP_S01_1	PTEN-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X07_LP_S01_2	PTEN-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X07_LP_S02_1	PTEN-/-_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X07_LP_S02_2	PTEN-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X07_LP_S03_1	PTEN-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X07_LP_S03_2	PTEN-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X07_LP_S04_1	PTEN-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X07_LP_S04_2	PTEN-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X08_LP_S01_1	PI3KCA_mt-/wt+_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X08_LP_S01_2	PI3KCA_mt-/wt+_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X08_LP_S02_1	PI3KCA_mt-/wt+_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X08_LP_S02_2	PI3KCA_mt-/wt+_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X08_LP_S03_1	PI3KCA_mt-/wt+_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X08_LP_S03_2	PI3KCA_mt-/wt+_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X08_LP_S04_1	PI3KCA_mt-/wt+_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X08_LP_S04_2	PI3KCA_mt-/wt+_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X09_LP_S01_1	KRAS_mt-/wt+_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X09_LP_S01_2	KRAS_mt-/wt+_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X09_LP_S02_1	KRAS_mt-/wt+_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X09_LP_S02_2	KRAS_mt-/wt+_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X09_LP_S03_1	KRAS_mt-/wt+_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X09_LP_S03_2	KRAS_mt-/wt+_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X09_LP_S04_1	KRAS_mt-/wt+_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X09_LP_S04_2	KRAS_mt-/wt+_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X10_LP_S01_1	BAX-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X10_LP_S01_2	BAX-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X10_LP_S02_1	BAX-/-_LOPAC_Plate_2_Replicate_1
2011-11-17_X-Man_LOPAC_X10_LP_S02_2	BAX-/-_LOPAC_Plate_2_Replicate_2
2011-11-17_X-Man_LOPAC_X10_LP_S03_1	BAX-/-_LOPAC_Plate_3_Replicate_1
2011-11-17_X-Man_LOPAC_X10_LP_S03_2	BAX-/-_LOPAC_Plate_3_Replicate_2
2011-11-17_X-Man_LOPAC_X10_LP_S04_1	BAX-/-_LOPAC_Plate_4_Replicate_1
2011-11-17_X-Man_LOPAC_X10_LP_S04_2	BAX-/-_LOPAC_Plate_4_Replicate_2
2011-11-17_X-Man_LOPAC_X11_LP_S01_1	MEK1-/-_LOPAC_Plate_1_Replicate_1
2011-11-17_X-Man_LOPAC_X11_LP_S01_2	MEK1-/-_LOPAC_Plate_1_Replicate_2
2011-11-17_X-Man_LOPAC_X11_LP_S02_1	MEK1-/-_LOPAC_Plate_2_Replicate_1
