Experimental Condition [Cell Line]	Cell Line Morphotype
HCC1954	Luminal 1 - cobblestone (L1 cluster)
HeLa	Luminal 1 - cobblestone (L1 cluster)
Hep3B	Luminal 1 - cobblestone (L1 cluster)
JIMT-1	Luminal 1 - cobblestone (L1 cluster)
MCF-7	Luminal 1 - cobblestone (L1 cluster)
SKBR3	Luminal 1 - cobblestone (L1 cluster)
T47D	Luminal 1 - cobblestone (L1 cluster)
AU565	Luminal 2 - small clustered (L2 cluster)
BT474	Luminal 2 - small clustered (L2 cluster)
CAMA1	Luminal 2 - small clustered (L2 cluster)
HCC70	Luminal 2 - small clustered (L2 cluster)
MCF 10A	Luminal 2 - small clustered (L2 cluster)
MDAMB453	Luminal 2 - small clustered (L2 cluster)
ZR751	Luminal 2 - small clustered (L2 cluster)
SUM159PT	Luminal/Mesenchymal (L/B cluster)
AG1573	Mesenchymal (B cluster)
HCC1143	Mesenchymal (B cluster)
HS578T	Mesenchymal (B cluster)
MCF12A	Mesenchymal (B cluster)
MDAMB157	Mesenchymal (B cluster)
MDAMB231	Mesenchymal (B cluster)
SUM149PT	Mesenchymal (B cluster)
