Plate	Well Number	Well	Experimental Condition [cell line]	"Cell Type/Genetic Subtype (Neve et al., Cancer Cell 2006)"	Experimental Condition [media]	Experimental Condition [compound]	Experimental Condition [dose]	Experimental Condition[time]	Control Type	Control Comment	Comments
22_lines_HC_EGF_200145913	1	A1							empty well		no images
22_lines_HC_EGF_200145913	2	A2							empty well		no images
22_lines_HC_EGF_200145913	3	A3							empty well		no images
22_lines_HC_EGF_200145913	4	A4							empty well		no images
22_lines_HC_EGF_200145913	5	A5							empty well		no images
22_lines_HC_EGF_200145913	6	A6							empty well		no images
22_lines_HC_EGF_200145913	7	A7							empty well		no images
22_lines_HC_EGF_200145913	8	A8							empty well		no images
22_lines_HC_EGF_200145913	9	A9							empty well		no images
22_lines_HC_EGF_200145913	10	A10							empty well		no images
22_lines_HC_EGF_200145913	11	A11							empty well		no images
22_lines_HC_EGF_200145913	12	A12							empty well		no images
22_lines_HC_EGF_200145913	13	A13							empty well		no images
22_lines_HC_EGF_200145913	14	A14							empty well		no images
22_lines_HC_EGF_200145913	15	A15							empty well		no images
22_lines_HC_EGF_200145913	16	A16							empty well		no images
22_lines_HC_EGF_200145913	17	A17							empty well		no images
22_lines_HC_EGF_200145913	18	A18							empty well		no images
22_lines_HC_EGF_200145913	19	A19							empty well		no images
22_lines_HC_EGF_200145913	20	A20							empty well		no images
22_lines_HC_EGF_200145913	21	A21							empty well		no images
22_lines_HC_EGF_200145913	22	A22							empty well		no images
22_lines_HC_EGF_200145913	23	A23							empty well		no images
22_lines_HC_EGF_200145913	24	A24							empty well		no images
22_lines_HC_EGF_200145913	25	B1							empty well		no images
22_lines_HC_EGF_200145913	26	B2	HeLa	cervical carcinoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	27	B3	Hep3B	hepatoma	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	28	B4	AG1573	primary fibroblast	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	29	B5	HS578T	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	30	B6	T47D	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	31	B7	MDA-MB-157	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	32	B8	HCC1143	Basal A breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	33	B9	AU565	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	34	B10	ZR75.1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	35	B11	CAMA1	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	36	B12	BT474	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	37	B13	MDA-MB-231	Basal B breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	38	B14	SKBR3	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	39	B15	JIMT1	Breast cancer (unknown genetic subtype)	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
22_lines_HC_EGF_200145913	40	B16	MCF7	Luminal breast cancer	DMEM:F12 + 5% HI-FBS + 0.5 mg/ml hydrocortisone	none					
