Plate	Well	Plate_Well	siRNA Identifier	siRNA Pool Name	Gene Identifier	Ensembl 56 Gene Symbol	Final Well Hit Status Actinome 1	Final Well Hit status Actinome 2	Overall Hit Gene Consensus	Has phenotypes	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26	Phenotype 27	Term Source Accession 27	Ontology Term Name 27	Phenotype 28	Term Source Accession 28	Ontology Term Name 28	Phenotype 29	Term Source Accession 29	Ontology Term Name 29	Phenotype 30	Term Source Accession 30	Ontology Term Name 30	Phenotype 31	Term Source Accession 31	Ontology Term Name 31	Phenotype 32	Term Source Accession 32	Ontology Term Name 32	Phenotype 33	Term Source Accession 33	Ontology Term Name 33	Phenotype 34	Term Source Accession 34	Ontology Term Name 34	Phenotype 35	Term Source Accession 35	Ontology Term Name 35	Phenotype 36	Term Source Accession 36	Ontology Term Name 36	Phenotype 37	Term Source Accession 37	Ontology Term Name 37	Phenotype 38	Term Source Accession 38	Ontology Term Name 38	Phenotype 39	Term Source Accession 39	Ontology Term Name 39	Phenotype 40	Term Source Accession 40	Ontology Term Name 40
Plate1_Actinome1	A10	Plate1_Actinome1_A10	DAAM2 pool	DAAM2	NM_015345		no	yes	no	no																																																																																																																								
Plate1_Actinome1	A11	Plate1_Actinome1_A11	ABLIM1 pool	ABLIM1	NM_002313		yes	yes	no	no																																																																																																																								
Plate1_Actinome1	A12	Plate1_Actinome1_A12	DAB2 pool	DAB2	NM_001343		yes	yes	no	no																																																																																																																								
Plate1_Actinome1	A13	Plate1_Actinome1_A13	ABLIM3 pool	ABLIM3	NM_014945	ABLIM3	yes	no	yes	yes																																		increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci				increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex				disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton	increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell	cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers																									microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																		
Plate1_Actinome1	A14	Plate1_Actinome1_A14	DBN1 pool	DBN1	NM_004395		no	no	no	no																																																																																																																								
Plate1_Actinome1	A15	Plate1_Actinome1_A15	ACTA1 pool	ACTA1	NM_001100		no	no	no	no																																																																																																																								
Plate1_Actinome1	A16	Plate1_Actinome1_A16	HIP-55 pool	HIP-55	NM_014063	DBNL	yes	no	yes	yes				increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass																												increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers																						cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers				increased number of multinucleate cells	CMPO_0000300	more multinucleate cells							misshapen DNA	CMPO_0000177	misshapen DNA				increased mitotic index	CMPO_0000056	more cells in M phase													microtubule nuclear bracket	CMPO_0000287	microtubules nuclear bracket phenotype	increased level of microtubules	CMPO_0000097	increased number of microtubules						
Plate1_Actinome1	A18	Plate1_Actinome1_A18	DCTN1 pool	DCTN1	NM_004082		yes	yes	no	no																																																																																																																								
Plate1_Actinome1	A19	Plate1_Actinome1_A19	ACTB pool	ACTB	NM_001101	ACTB	yes	yes	yes	yes	increased level of actin	CMPO_0000105	increased number of actin filament	increased peripheral actin	CMPO_0000272	increased cortical actin cytoskeleton mass										increased width of lamellae	CMPO_0000276	increased lamellipodia width phenotype													increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci	increased number of actin stress fibres	CMPO_0000291	increased amount of punctate actin foci	increased number of transverse actin stress fibres	CMPO_0000298	increased amount of transverse stress fibers	increased number of cortical actin stress fibres	CMPO_0000297	increased amount of stress fibers located in the cell cortex	increased number of zigzag actin stress fibres	CMPO_0000299	increased amount of zig-zag stress fibers				increased cell size	CMPO_0000128	increased cell size phenotype													cell shape bipolar or elongated	CMPO_0000077	elongated cell	cell shape geometric	CMPO_0000261	geometric cell				decreased cell number	CMPO_0000052	decreased cell numbers																									microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																motile lamellae	CMPO_0000278	fan-shaped lamellipodia
Plate1_Actinome1	A20	Plate1_Actinome1_A20	DEF6 pool	DEF6	NM_022047		no	yes	no	no																																																																																																																								
