Plate	Plate Map Name	Well	Well Number	Compound Name	Compound Source	Compound SMILES	Compound Broad Identifier	Compound Broad Identifier Short	Compound Concentration (micromolar)	Control Type
20585	H-BIOA-002-1	A1	1	NIFLUMIC ACID	Biomol International Inc.	OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F	BRD-K98763141-001-06-8	BRD-K98763141	8.858401198	
20585	H-BIOA-002-1	A2	2	Vitexin	Prestwick Chemical Inc.	OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4	BRD-A41941932-001-03-0	BRD-A41941932	2.312793797	
20585	H-BIOA-002-1	A3	3	NICARDIPINE	Biomol International Inc.	COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C	BRD-A26711594-001-02-7	BRD-A26711594	5.213492954	
20585	H-BIOA-002-1	A4	4	6-Furfurylaminopurine	Prestwick Chemical Inc.	C(Nc1ncnc2[nH]cnc12)c3ccco3	BRD-K65667145-001-05-8	BRD-K65667145	4.646594864	
20585	H-BIOA-002-1	A5	5	LOPERAMIDE	Biomol International Inc.	CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	BRD-K61250553-001-02-9	BRD-K61250553	5.240677924	
20585	H-BIOA-002-1	A6	6	Suxibuzone	Prestwick Chemical Inc.	CCCCC1(COC(=O)CCC(=O)O)C(=O)N(N(C1=O)c2ccccc2)c3ccccc3	BRD-K78815826-001-05-4	BRD-K78815826	2.28064193	
20585	H-BIOA-002-1	A7	7	LIDOCAINE	Biomol International Inc.	CCN(CC)CC(=O)Nc1c(C)cccc1C	BRD-K52662033-001-02-6	BRD-K52662033	10.66838362	
20585	H-BIOA-002-1	A8	8	Benzamil hydrochloride	Prestwick Chemical Inc.	N/C(=N\\C(=O)c1nc(Cl)c(N)nc1N)/NCc2ccccc2	BRD-K97688263-003-04-1	BRD-K97688263	2.807328813	
20585	H-BIOA-002-1	A9	9	IAA-94	Biomol International Inc.	C[C@]1(Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O)C3CCCC3	BRD-K85383046-001-02-5	BRD-K85383046	6.99832337	
20585	H-BIOA-002-1	A10	10	Halcinonide	Prestwick Chemical Inc.	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CCl	BRD-K81709173-001-03-8	BRD-K81709173	2.197998891	
20585	H-BIOA-002-1	A11	11	GLYBURIDE	Biomol International Inc.	COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3	BRD-K36927236-001-06-0	BRD-K36927236	5.060692685	
20585	H-BIOA-002-1	A12	12	Mepenzolate bromide	Prestwick Chemical Inc.	C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3	BRD-A62421304-004-05-6	BRD-A62421304	2.373335218	
20585	H-BIOA-002-1	A13	13	DMSO						negative control
20585	H-BIOA-002-1	A14	14	DMSO						negative control
20585	H-BIOA-002-1	A15	15	GLIPIZIDE	Biomol International Inc.	Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3	BRD-K12219985-001-04-8	BRD-K12219985	5.611229174	
20585	H-BIOA-002-1	A16	16	Picrotoxinin	Prestwick Chemical Inc.	CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]3(O)CC4O[C@]45C(=O)O[C@H]2[C@@]53C	BRD-A37817666-001-02-2	BRD-A37817666	3.421330642	
20585	H-BIOA-002-1	A17	17	FLUNARIZINE	Biomol International Inc.	Fc1ccc(cc1)C(N2CCN(C/C=C/c3ccccc3)CC2)c4ccc(F)cc4	BRD-K29582677-001-02-7	BRD-K29582677	6.18054846	
20585	H-BIOA-002-1	A18	18	Glimepiride	Prestwick Chemical Inc.	CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)C1=O	BRD-K34776109-001-03-4	BRD-K34776109	2.038255778	
20585	H-BIOA-002-1	A19	19	FLUFENAMIC ACID	Biomol International Inc.	OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	BRD-K44067360-001-06-3	BRD-K44067360	8.88952389	
20585	H-BIOA-002-1	A20	20	Myosmine	Prestwick Chemical Inc.	C1CN=C(C1)c2cccnc2	BRD-K67556876-001-03-1	BRD-K67556876	6.840455273	
20585	H-BIOA-002-1	A21	21	FLECAINIDE	Biomol International Inc.	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2	BRD-A09472452-001-02-8	BRD-A09472452	6.03365254	
20585	H-BIOA-002-1	A22	22	Flurandrenolide	Prestwick Chemical Inc.	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	BRD-K00824317-001-03-0	BRD-K00824317	2.290879246	
20585	H-BIOA-002-1	A23	23	E-4031	Biomol International Inc.	Cc1cccc(CCN2CCC(CC2)C(=O)c3ccc(NS(=O)(=O)C)cc3)n1	BRD-K41713976-001-02-0	BRD-K41713976	6.226303002	
20585	H-BIOA-002-1	A24	24	Sulmazole	Prestwick Chemical Inc.	COc1cc(ccc1c2nc3ncccc3[nH]2)S(=O)C	BRD-A22081593-001-04-6	BRD-A22081593	3.48023498	
20585	H-BIOA-002-1	B1	25	Nalidixic acid sodium salt hydrate	Prestwick Chemical Inc.	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc12	BRD-K47886988-323-03-0	BRD-K47886988	3.659781848	
20585	H-BIOA-002-1	B2	26	ML9	Biomol International Inc.	Clc1cccc2c(cccc12)S(=O)(=O)N3CCCNCC3	BRD-K68402494-001-04-7	BRD-K68402494	7.696435824	
20585	H-BIOA-002-1	B3	27	Cloxacillin sodium salt	Prestwick Chemical Inc.	Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4ccccc4Cl	BRD-K01244426-236-05-5	BRD-K01244426	2.179261282	
20585	H-BIOA-002-1	B4	28	ML7	Biomol International Inc.	Ic1cccc2c(cccc12)S(=O)(=O)N3CCCNCC3	BRD-K93201660-001-04-0	BRD-K93201660	6.005614288	
20585	H-BIOA-002-1	B5	29	Aztreonam	Prestwick Chemical Inc.	C[C@H]1[C@H](NC(=O)/C(=N\\OC(C)(C)C(=O)O)/c2csc(N)n2)C(=O)N1S(=O)(=O)O	BRD-K62607865-001-03-0	BRD-K62607865	2.296565729	
20585	H-BIOA-002-1	B6	30	mitomycin C	Biomol International Inc.	CO[C@@]12[C@H]3N[C@H]3CN2C4=C([C@H]1COC(=O)N)C(=O)C(=C(C)C4=O)N	BRD-K59670716-001-02-6	BRD-K59670716	7.477704029	
20585	H-BIOA-002-1	B7	31	Methocarbamol	Prestwick Chemical Inc.	COc1ccccc1OCC(O)COC(=O)N	BRD-A31521121-001-05-8	BRD-A31521121	4.145240952	
20585	H-BIOA-002-1	B8	32	epibatidine (+/-)	Biomol International Inc.	Clc1ccc(cn1)C2CC3CCC2N3	BRD-A39268308-001-02-0	BRD-A39268308	11.97964495	
20585	H-BIOA-002-1	B9	33	Pargyline hydrochloride	Prestwick Chemical Inc.	CN(CC#C)Cc1ccccc1	BRD-K83597974-003-05-7	BRD-K83597974	5.110160757	
20585	H-BIOA-002-1	B10	34	manumycin A	Biomol International Inc.	CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O	BRD-K78599730-001-03-4	BRD-K78599730	4.540149834	
